10,21.4207
20,57.1369
30,99.8116
40,143.451
50,189.392
60,240.649
70,289.848
80,343.529
90,400.099
100,454.01
110,510.746
120,568.01
130,624.323
140,687.42
150,744.242
160,805.541
170,868.274
180,930.203
190,988.894
200,1051.92
210,1113.45
220,1177.86
230,1240.93
240,1305.23
250,1372.36
260,1435.89
270,1503.81
280,1568.71
290,1636.76
300,1702.76
310,1769.1
320,1836.96
330,1904.33
340,1973.41
350,2042.79
360,2111.45
370,2179.8
380,2246.81
390,2318.09
400,2386.43
410,2457.62
420,2527.05
430,2598.52
440,2668.83
450,2739.37
460,2810.92
470,2882.5
480,2954.49
490,3026.69
500,3098.29
510,3171.9
520,3245.9
530,3315.7
540,3389.68
550,3461.05
560,3535.81
570,3606.94
580,3678.25
590,3755.33
600,3827.38
610,3901.2
620,3978.78
630,4051.13
640,4124.23
650,4202.29
660,4274.51
670,4353.68
680,4424.59
690,4500.06
700,4575.87
710,4652.82
720,4726.92
730,4803.75
740,4880.12
750,4954.63
760,5031.47
770,5107.04
780,5182.34
790,5261.37
800,5339.13
810,5413.82
820,5492.22
830,5570.55
840,5646.4
850,5722.77
860,5799.66
870,5879.26
880,5956.58
890,6035.42
900,6112.36
910,6191.82
920,6269.39
930,6346.86
940,6427.05
950,6505.34
960,6580.93
970,6659.83
980,6741.24
990,6818.94
1000,6898.95
done
